ID,time_segment_id,view_label,videos,Avg_Brightness_Value,Day_Night_Label
5_Norman_Niles_#1,5,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-05-45.mp4,69.66,Night
6_Norman_Niles_#1,6,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-06-45.mp4,69.42,Night
7_Norman_Niles_#1,7,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-07-45.mp4,70.29,Night
8_Norman_Niles_#1,8,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-08-45.mp4,69.44,Night
9_Norman_Niles_#1,9,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-09-45.mp4,69.14,Night
10_Norman_Niles_#1,10,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-10-45.mp4,69.04,Night
11_Norman_Niles_#1,11,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-11-45.mp4,69.47,Night
12_Norman_Niles_#1,12,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-12-45.mp4,69.58,Night
13_Norman_Niles_#1,13,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-13-45.mp4,70.35,Night
14_Norman_Niles_#1,14,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-14-45.mp4,69.24,Night
15_Norman_Niles_#1,15,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-15-45.mp4,69.4,Night
16_Norman_Niles_#1,16,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-16-45.mp4,69.36,Night
17_Norman_Niles_#1,17,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-17-45.mp4,69.6,Night
18_Norman_Niles_#1,18,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-18-45.mp4,69.56,Night
19_Norman_Niles_#1,19,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-19-45.mp4,69.58,Night
20_Norman_Niles_#1,20,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-20-45.mp4,69.55,Night
21_Norman_Niles_#1,21,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-21-45.mp4,69.64,Night
22_Norman_Niles_#1,22,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-22-45.mp4,69.86,Night
23_Norman_Niles_#1,23,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-23-45.mp4,69.47,Night
24_Norman_Niles_#1,24,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-24-45.mp4,69.72,Night
25_Norman_Niles_#1,25,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-25-45.mp4,69.51,Night
26_Norman_Niles_#1,26,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-26-45.mp4,69.89,Night
27_Norman_Niles_#1,27,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-27-45.mp4,69.73,Night
28_Norman_Niles_#1,28,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-28-45.mp4,69.68,Night
29_Norman_Niles_#1,29,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-29-45.mp4,69.58,Night
30_Norman_Niles_#1,30,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-30-45.mp4,69.58,Night
31_Norman_Niles_#1,31,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-31-45.mp4,69.67,Night
32_Norman_Niles_#1,32,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-32-45.mp4,69.79,Night
33_Norman_Niles_#1,33,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-33-45.mp4,71.07,Night
34_Norman_Niles_#1,34,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-34-45.mp4,69.95,Night
35_Norman_Niles_#1,35,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-35-45.mp4,70.0,Night
36_Norman_Niles_#1,36,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-36-45.mp4,69.89,Night
37_Norman_Niles_#1,37,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-37-45.mp4,70.34,Night
38_Norman_Niles_#1,38,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-38-45.mp4,70.01,Night
39_Norman_Niles_#1,39,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-39-45.mp4,69.86,Night
40_Norman_Niles_#1,40,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-40-45.mp4,70.02,Night
41_Norman_Niles_#1,41,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-41-45.mp4,69.76,Night
42_Norman_Niles_#1,42,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-42-45.mp4,70.39,Night
43_Norman_Niles_#1,43,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-43-45.mp4,69.96,Night
44_Norman_Niles_#1,44,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-44-45.mp4,70.93,Night
45_Norman_Niles_#1,45,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-45-45.mp4,70.32,Night
46_Norman_Niles_#1,46,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-46-45.mp4,70.76,Night
47_Norman_Niles_#1,47,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-47-45.mp4,70.53,Night
48_Norman_Niles_#1,48,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-48-45.mp4,70.78,Night
49_Norman_Niles_#1,49,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-49-45.mp4,70.66,Night
50_Norman_Niles_#1,50,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-50-45.mp4,70.78,Night
51_Norman_Niles_#1,51,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-51-45.mp4,70.7,Night
52_Norman_Niles_#1,52,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-52-45.mp4,70.75,Night
53_Norman_Niles_#1,53,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-53-45.mp4,69.92,Night
54_Norman_Niles_#1,54,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-54-45.mp4,70.04,Night
55_Norman_Niles_#1,55,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-55-45.mp4,70.37,Night
56_Norman_Niles_#1,56,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-56-45.mp4,69.93,Night
57_Norman_Niles_#1,57,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-57-45.mp4,70.37,Night
58_Norman_Niles_#1,58,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-58-45.mp4,70.12,Night
59_Norman_Niles_#1,59,Norman Niles #1,normanniles1/normanniles1_2025-10-20-06-59-45.mp4,70.85,Night
60_Norman_Niles_#1,60,Norman Niles #1,normanniles1/normanniles1_2025-10-20-07-00-45.mp4,70.08,Night
61_Norman_Niles_#1,61,Norman Niles #1,normanniles1/normanniles1_2025-10-20-07-01-45.mp4,70.13,Night
62_Norman_Niles_#1,62,Norman Niles #1,normanniles1/normanniles1_2025-10-20-07-02-45.mp4,70.49,Night
63_Norman_Niles_#1,63,Norman Niles #1,normanniles1/normanniles1_2025-10-20-07-03-45.mp4,70.44,Night
64_Norman_Niles_#1,64,Norman Niles #1,normanniles1/normanniles1_2025-10-20-07-04-45.mp4,70.99,Night
