ID,time_segment_id,view_label,Direction,videos,Vehicle_Count,Avg_Speed_kmh,Max_Speed_kmh,Min_Speed_kmh,Speed_Range_kmh,Speed_Std_kmh
2054_Norman_Niles_#1_entry_rating,2054,Norman Niles #1,ENTRY,normanniles1/normanniles1_2025-10-22-16-33-45.mp4,29,1.89,9.38,0.26,9.12,1.84
2054_Norman_Niles_#1_exit_rating,2054,Norman Niles #1,EXIT,normanniles1/normanniles1_2025-10-22-16-33-45.mp4,24,5.51,8.58,1.87,6.71,2.19
2055_Norman_Niles_#1_entry_rating,2055,Norman Niles #1,ENTRY,normanniles1/normanniles1_2025-10-22-16-34-45.mp4,30,3.05,14.01,0.26,13.75,3.68
2055_Norman_Niles_#1_exit_rating,2055,Norman Niles #1,EXIT,normanniles1/normanniles1_2025-10-22-16-34-45.mp4,28,6.17,10.02,0.63,9.39,2.73
2056_Norman_Niles_#1_entry_rating,2056,Norman Niles #1,ENTRY,normanniles1/normanniles1_2025-10-22-16-35-45.mp4,29,3.65,19.05,0.59,18.46,4.23
2056_Norman_Niles_#1_exit_rating,2056,Norman Niles #1,EXIT,normanniles1/normanniles1_2025-10-22-16-35-45.mp4,20,5.78,10.5,1.79,8.72,2.5
2057_Norman_Niles_#1_entry_rating,2057,Norman Niles #1,ENTRY,normanniles1/normanniles1_2025-10-22-16-36-45.mp4,34,3.09,9.05,0.49,8.56,1.79
2057_Norman_Niles_#1_exit_rating,2057,Norman Niles #1,EXIT,normanniles1/normanniles1_2025-10-22-16-36-45.mp4,34,6.14,11.76,1.49,10.27,2.62
2058_Norman_Niles_#1_entry_rating,2058,Norman Niles #1,ENTRY,normanniles1/normanniles1_2025-10-22-16-37-45.mp4,25,3.06,13.68,0.6,13.08,2.99
2058_Norman_Niles_#1_exit_rating,2058,Norman Niles #1,EXIT,normanniles1/normanniles1_2025-10-22-16-37-45.mp4,28,5.79,12.51,0.22,12.29,2.98
2059_Norman_Niles_#1_entry_rating,2059,Norman Niles #1,ENTRY,normanniles1/normanniles1_2025-10-22-16-38-45.mp4,29,2.5,14.55,0.29,14.26,3.25
