ID,time_segment_id,view_label,Direction,videos,Vehicle_Count,Avg_Speed_kmh,Max_Speed_kmh,Min_Speed_kmh,Speed_Range_kmh,Speed_Std_kmh
2623_Norman_Niles_#3_entry_rating,2623,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-11-45.mp4,17,4.61,8.81,1.47,7.35,2.06
2623_Norman_Niles_#3_exit_rating,2623,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-11-45.mp4,27,6.54,9.83,1.97,7.86,1.69
2624_Norman_Niles_#3_entry_rating,2624,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-12-45.mp4,34,2.73,7.45,0.31,7.14,1.52
2624_Norman_Niles_#3_exit_rating,2624,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-12-45.mp4,19,6.56,13.32,0.85,12.47,3.28
2625_Norman_Niles_#3_entry_rating,2625,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-13-45.mp4,29,2.83,5.69,0.91,4.78,1.26
2625_Norman_Niles_#3_exit_rating,2625,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-13-45.mp4,30,6.13,13.5,0.44,13.06,2.71
2626_Norman_Niles_#3_entry_rating,2626,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-14-45.mp4,24,2.46,7.16,0.39,6.77,1.72
2626_Norman_Niles_#3_exit_rating,2626,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-14-45.mp4,30,7.0,13.79,1.21,12.58,2.84
2627_Norman_Niles_#3_entry_rating,2627,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-15-45.mp4,25,2.61,6.36,0.8,5.56,1.56
2627_Norman_Niles_#3_exit_rating,2627,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-15-45.mp4,31,6.57,10.52,2.63,7.89,2.17
2628_Norman_Niles_#3_entry_rating,2628,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-16-45.mp4,30,3.3,7.02,1.28,5.75,1.41
2628_Norman_Niles_#3_exit_rating,2628,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-16-45.mp4,24,6.19,9.58,4.64,4.94,1.2
2629_Norman_Niles_#3_entry_rating,2629,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-17-45.mp4,18,2.93,8.33,0.14,8.19,2.32
2629_Norman_Niles_#3_exit_rating,2629,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-17-45.mp4,30,6.85,14.18,0.66,13.53,2.75
2630_Norman_Niles_#3_entry_rating,2630,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-18-45.mp4,25,2.58,8.23,0.27,7.96,2.2
2630_Norman_Niles_#3_exit_rating,2630,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-18-45.mp4,26,7.88,12.17,0.36,11.81,2.67
2631_Norman_Niles_#3_entry_rating,2631,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-19-45.mp4,28,3.33,9.31,0.18,9.13,2.11
2631_Norman_Niles_#3_exit_rating,2631,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-19-45.mp4,23,7.43,11.29,4.38,6.91,1.91
2632_Norman_Niles_#3_entry_rating,2632,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-20-45.mp4,23,3.33,9.04,0.39,8.64,1.86
2632_Norman_Niles_#3_exit_rating,2632,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-20-45.mp4,25,6.02,8.8,0.68,8.12,1.75
2633_Norman_Niles_#3_entry_rating,2633,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-21-45.mp4,21,3.11,7.42,0.51,6.92,1.94
2633_Norman_Niles_#3_exit_rating,2633,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-21-45.mp4,28,6.52,10.41,4.28,6.12,1.34
2634_Norman_Niles_#3_entry_rating,2634,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-22-45.mp4,25,3.11,10.7,0.79,9.92,2.21
2634_Norman_Niles_#3_exit_rating,2634,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-22-45.mp4,28,6.24,11.32,1.56,9.76,1.95
2635_Norman_Niles_#3_entry_rating,2635,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-23-45.mp4,25,2.6,6.87,0.43,6.44,1.88
2635_Norman_Niles_#3_exit_rating,2635,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-23-45.mp4,29,6.38,11.42,0.97,10.45,2.08
2636_Norman_Niles_#3_entry_rating,2636,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-24-45.mp4,25,3.48,10.68,0.74,9.94,2.65
2636_Norman_Niles_#3_exit_rating,2636,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-24-45.mp4,24,6.44,10.35,4.6,5.75,1.52
2637_Norman_Niles_#3_entry_rating,2637,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-14-25-45.mp4,22,4.35,7.56,0.68,6.88,1.8
2637_Norman_Niles_#3_exit_rating,2637,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-14-25-45.mp4,29,5.89,10.64,1.42,9.22,1.61
2692_Norman_Niles_#3_entry_rating,2692,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-20-45.mp4,31,4.83,8.44,1.26,7.18,2.14
2692_Norman_Niles_#3_exit_rating,2692,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-20-45.mp4,21,6.27,13.51,1.6,11.9,2.48
2693_Norman_Niles_#3_entry_rating,2693,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-21-45.mp4,22,2.66,7.24,0.15,7.09,1.86
2693_Norman_Niles_#3_exit_rating,2693,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-21-45.mp4,23,6.15,12.6,0.07,12.54,2.56
2694_Norman_Niles_#3_entry_rating,2694,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-22-45.mp4,39,3.51,9.77,0.51,9.26,1.9
2694_Norman_Niles_#3_exit_rating,2694,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-22-45.mp4,21,6.3,10.42,1.47,8.95,2.37
2695_Norman_Niles_#3_entry_rating,2695,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-23-45.mp4,30,3.42,8.33,0.45,7.87,2.12
2695_Norman_Niles_#3_exit_rating,2695,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-23-45.mp4,22,6.82,10.07,4.61,5.46,1.5
2696_Norman_Niles_#3_entry_rating,2696,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-24-45.mp4,19,2.84,10.17,0.53,9.64,2.32
2696_Norman_Niles_#3_exit_rating,2696,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-24-45.mp4,22,5.74,11.26,0.94,10.32,2.16
2697_Norman_Niles_#3_entry_rating,2697,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-25-45.mp4,26,3.06,5.35,0.64,4.71,1.33
2697_Norman_Niles_#3_exit_rating,2697,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-25-45.mp4,30,6.19,10.9,0.78,10.11,2.0
2698_Norman_Niles_#3_entry_rating,2698,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-26-45.mp4,23,2.72,7.03,0.15,6.88,1.94
2698_Norman_Niles_#3_exit_rating,2698,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-26-45.mp4,22,5.43,9.77,0.14,9.63,2.58
2699_Norman_Niles_#3_entry_rating,2699,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-27-45.mp4,41,3.16,6.74,0.25,6.49,1.68
2699_Norman_Niles_#3_exit_rating,2699,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-27-45.mp4,25,6.6,10.66,1.49,9.17,2.21
2700_Norman_Niles_#3_entry_rating,2700,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-28-45.mp4,27,3.38,9.75,0.12,9.63,2.57
2700_Norman_Niles_#3_exit_rating,2700,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-28-45.mp4,29,6.12,10.95,0.17,10.78,2.33
2701_Norman_Niles_#3_entry_rating,2701,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-29-45.mp4,36,3.04,12.97,0.41,12.56,2.53
2701_Norman_Niles_#3_exit_rating,2701,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-29-45.mp4,12,6.67,10.6,4.42,6.18,1.9
2702_Norman_Niles_#3_entry_rating,2702,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-30-45.mp4,30,3.47,6.37,0.72,5.66,1.59
2702_Norman_Niles_#3_exit_rating,2702,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-30-45.mp4,19,6.29,9.45,4.19,5.26,1.32
2703_Norman_Niles_#3_entry_rating,2703,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-31-45.mp4,30,3.45,17.03,0.45,16.58,3.0
2703_Norman_Niles_#3_exit_rating,2703,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-31-45.mp4,21,6.51,9.93,4.29,5.64,1.63
2704_Norman_Niles_#3_entry_rating,2704,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-32-45.mp4,25,2.63,6.54,0.53,6.01,1.67
2704_Norman_Niles_#3_exit_rating,2704,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-32-45.mp4,23,6.67,15.34,0.92,14.41,2.98
2705_Norman_Niles_#3_entry_rating,2705,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-33-45.mp4,21,3.6,10.71,0.74,9.96,2.33
2705_Norman_Niles_#3_exit_rating,2705,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-33-45.mp4,30,6.56,11.36,3.08,8.28,2.14
2706_Norman_Niles_#3_entry_rating,2706,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-23-15-34-45.mp4,20,2.58,10.82,0.37,10.44,2.49
2706_Norman_Niles_#3_exit_rating,2706,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-23-15-34-45.mp4,30,6.19,13.94,1.68,12.26,2.16
2874_Norman_Niles_#3_entry_rating,2874,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-24-06-22-45.mp4,0,0.0,0.0,0.0,0.0,0.0
2874_Norman_Niles_#3_exit_rating,2874,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-24-06-22-45.mp4,0,0.0,0.0,0.0,0.0,0.0
2875_Norman_Niles_#3_entry_rating,2875,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-24-06-23-45.mp4,1,3.17,3.17,3.17,0.0,0.0
2875_Norman_Niles_#3_exit_rating,2875,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-24-06-23-45.mp4,1,7.85,7.85,7.85,0.0,0.0
2876_Norman_Niles_#3_entry_rating,2876,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-24-06-24-45.mp4,0,0.0,0.0,0.0,0.0,0.0
2876_Norman_Niles_#3_exit_rating,2876,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-24-06-24-45.mp4,1,6.59,6.59,6.59,0.0,0.0
2877_Norman_Niles_#3_entry_rating,2877,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-24-06-25-45.mp4,1,4.0,4.0,4.0,0.0,0.0
2877_Norman_Niles_#3_exit_rating,2877,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-24-06-25-45.mp4,4,7.76,8.02,7.48,0.54,0.23
2878_Norman_Niles_#3_entry_rating,2878,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-24-06-26-45.mp4,1,5.07,5.07,5.07,0.0,0.0
2878_Norman_Niles_#3_exit_rating,2878,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-24-06-26-45.mp4,0,0.0,0.0,0.0,0.0,0.0
2879_Norman_Niles_#3_entry_rating,2879,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-24-06-27-45.mp4,0,0.0,0.0,0.0,0.0,0.0
2879_Norman_Niles_#3_exit_rating,2879,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-24-06-27-45.mp4,2,6.2,6.68,5.73,0.95,0.67
2880_Norman_Niles_#3_entry_rating,2880,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-24-06-28-45.mp4,0,0.0,0.0,0.0,0.0,0.0
2880_Norman_Niles_#3_exit_rating,2880,Norman Niles #3,EXIT,normanniles3/normanniles3_2025-10-24-06-28-45.mp4,0,0.0,0.0,0.0,0.0,0.0
2881_Norman_Niles_#3_entry_rating,2881,Norman Niles #3,ENTRY,normanniles3/normanniles3_2025-10-24-06-29-45.mp4,0,0.0,0.0,0.0,0.0,0.0
