ID,time_segment_id,view_label,Direction,videos,Vehicle_Count,Avg_Speed_kmh,Max_Speed_kmh,Min_Speed_kmh,Speed_Range_kmh,Speed_Std_kmh,Avg_Brightness_Value,Day_Night_Label
3512_Norman_Niles_#2_entry_rating,3512,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-12-45.mp4,8,2.93,5.25,0.67,4.58,1.81,152.45,Day
3512_Norman_Niles_#2_exit_rating,3512,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-12-45.mp4,12,5.67,7.77,0.96,6.82,2.01,152.45,Day
3513_Norman_Niles_#2_entry_rating,3513,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-13-45.mp4,11,3.18,7.29,0.73,6.56,2.24,150.86,Day
3513_Norman_Niles_#2_exit_rating,3513,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-13-45.mp4,13,5.65,8.24,0.13,8.11,2.24,150.86,Day
3514_Norman_Niles_#2_entry_rating,3514,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-14-45.mp4,6,1.18,2.89,0.16,2.73,1.22,152.03,Day
3514_Norman_Niles_#2_exit_rating,3514,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-14-45.mp4,12,6.33,14.42,2.51,11.91,2.93,152.03,Day
3515_Norman_Niles_#2_entry_rating,3515,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-15-45.mp4,16,1.16,3.53,0.31,3.22,0.85,138.42,Day
3515_Norman_Niles_#2_exit_rating,3515,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-15-45.mp4,11,5.1,7.72,0.19,7.52,2.5,138.42,Day
3516_Norman_Niles_#2_entry_rating,3516,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-16-45.mp4,20,3.22,12.7,0.37,12.33,3.01,149.09,Day
3516_Norman_Niles_#2_exit_rating,3516,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-16-45.mp4,7,5.73,7.8,0.17,7.63,2.59,149.09,Day
3517_Norman_Niles_#2_entry_rating,3517,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-17-45.mp4,13,2.1,12.6,0.15,12.45,3.9,151.32,Day
3517_Norman_Niles_#2_exit_rating,3517,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-17-45.mp4,12,4.58,8.66,0.12,8.54,2.19,151.32,Day
3518_Norman_Niles_#2_entry_rating,3518,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-18-45.mp4,12,1.29,4.08,0.16,3.92,1.23,142.83,Day
3518_Norman_Niles_#2_exit_rating,3518,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-18-45.mp4,5,4.98,7.55,0.78,6.77,2.57,142.83,Day
3519_Norman_Niles_#2_entry_rating,3519,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-19-45.mp4,18,1.5,6.31,0.25,6.06,1.55,151.95,Day
3519_Norman_Niles_#2_exit_rating,3519,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-19-45.mp4,14,6.86,10.19,0.43,9.76,2.33,151.95,Day
3520_Norman_Niles_#2_entry_rating,3520,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-20-45.mp4,19,2.84,13.14,0.25,12.88,3.03,147.5,Day
3520_Norman_Niles_#2_exit_rating,3520,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-20-45.mp4,9,2.86,6.52,0.14,6.38,2.83,147.5,Day
3521_Norman_Niles_#2_entry_rating,3521,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-21-45.mp4,24,2.12,10.25,0.26,9.99,2.34,152.1,Day
3521_Norman_Niles_#2_exit_rating,3521,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-21-45.mp4,11,5.21,7.43,0.28,7.16,2.41,152.1,Day
3522_Norman_Niles_#2_entry_rating,3522,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-22-45.mp4,12,3.6,13.8,0.55,13.25,3.94,151.45,Day
3522_Norman_Niles_#2_exit_rating,3522,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-22-45.mp4,15,5.73,8.09,1.4,6.7,1.89,151.45,Day
3523_Norman_Niles_#2_entry_rating,3523,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-23-45.mp4,25,2.12,5.56,0.14,5.42,1.63,150.9,Day
